datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
250	-0.95596847	-1.3257008	12.10496	141.70908	11.595969	326.54836	0.00020614644
251	-1.0842531	-1.0642803	10.796459	89.76193	11.437077	322.89387	0.00040149098
252	-1.3690523	-0.7263822	10.960481	158.57034	11.321944	288.70364	9.0415483e-05
253	-1.3735118	1.2841161	12.433502	183.76052	12.21645	306.73571	0.00013574524
254	-1.3136456	-1.0331313	12.052713	145.63656	12.349998	333.69575	0.00040626604
255	-1.3195485	0.70119147	11.700472	116.09878	12.459161	313.57746	0.0004196493
256	0.99123881	-0.93443945	10.233266	111.10656	11.199391	324.56674	0.00045218278
257	0.23493485	-1.0179586	8.6260858	111.82382	10.356883	298.70814	0.0004037534
258	1.1314028	-1.3590437	6.6742126	203.81255	7.658776	231.44792	0
259	0.13569273	-1.0473045	6.0324725	209.08589	7.0491969	225.03803	0
260	-0.67009836	-0.28946339	8.2962141	205.59533	7.6742966	237.24107	0
261	-0.7590897	1.0075149	10.594767	203.91757	8.9032943	248.22936	0
262	-0.45566985	-0.31761595	11.083135	191.4931	9.6950858	263.14025	0
263	-0.84298321	-1.2433449	10.234797	198.99398	8.7883933	249.33917	0
264	-1.2847729	-0.38213918	10.240321	177.92552	9.2753218	279.74767	0.00010008994
265	-1.4636562	-0.78349978	10.713734	153.87697	10.236129	295.23045	8.5688181e-05
266	-1.5933925	0.48378882	11.005093	126.05937	10.844143	295.41216	6.9891119e-05
267	-1.3961369	1.2936402	12.024675	170.1784	11.227329	275.74891	0
268	-0.98255196	2.1114682	12.464515	150.1412	11.155257	309.02202	5.5406453e-05
269	-0.097864073	0.06886992	12.250098	123.6582	10.560954	322.54726	0
270	0.29377022	-0.96159197	13.24572	138.35825	11.473027	353.43641	0.00021471181
271	-0.38112758	-1.089151	11.998486	78.705611	12.185958	352.52954	0.00034521039
272	-0.69311378	0.071044538	12.251524	121.25375	13.035864	344.02295	0.00060086258
273	-0.14622117	-1.0193908	11.544419	87.66582	12.587548	350.522	0.00060780961
274	-1.2548655	-0.73198099	9.6852216	57.558101	11.543431	349.02479	0.00075098695
275	-1.8060272	-0.12411495	6.9762554	40.843746	9.7320173	351.59206	0.00099882703
276	-1.9419547	1.3776452	5.4760942	49.736607	8.6475083	324.64506	0.00040339972
277	-1.5812564	2.2375917	7.0774874	91.18111	9.2382264	284.26326	0
278	-1.2338583	1.7020054	8.6236256	135.64398	9.8711275	298.48497	8.5045811e-05
279	-1.2260327	0.57362518	8.6868738	33.243802	10.974412	355.52135	0.00072482312
280	-1.0389658	-1.7176794	8.2455583	53.645187	10.597007	351.59716	0.00054272963
281	-0.48836147	-1.4120834	7.9984035	116.4471	10.017393	318.01598	0.00033238609
282	-0.68406118	0.15384431	7.6428556	68.314703	9.9399528	334.0582	0.00044744248
283	-0.012314522	-1.6320384	6.7038746	71.083629	9.1498391	317.50733	0.00023285183
284	1.2240312	-0.92342718	5.0304858	160.58341	7.048884	237.14935	0
285	0.1215539	0.76530357	4.995171	138.4977	7.1601978	261.28449	0
286	0.42150238	-0.10615941	5.1594697	132.57407	7.7287229	263.99421	6.4993583e-05
