datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
322	-0.40179072	0	-0.16734997	106.99629	4.926995	231.26065	0
323	-0.55458722	0	-1.2054869	104.92607	5.1192428	226.09096	0
324	-0.2592603	0	-1.1144147	105.02024	5.0753662	220.98975	0
325	-0.61014205	0	-0.28509119	105.44084	4.7736609	222.5905	0
326	-1.0984178	0	-0.88108553	101.01769	5.0600274	219.72674	0
327	-1.0315126	0	-1.6733781	99.002431	4.9606221	218.41677	0
328	-0.8001625	0	-2.1595734	100.54409	4.8283085	221.60019	0
329	-0.1325423	0	-2.152012	81.610949	4.7224203	233.8109	4.926327e-05
330	0.71311311	0	-2.9648096	99.105234	3.8791591	195.94562	0
331	0.64580273	0	-2.899247	106.02999	3.6957641	198.64784	0
332	0.85229444	0	-2.8146917	100.16966	3.7846056	196.91594	0
333	-0.27086297	0	-3.4495653	94.846347	3.6185334	201.16817	0
334	-0.24430084	0	-1.8695843	65.600875	4.8436865	265.66642	0
335	0.0028621687	0	-0.86223344	85.934745	5.4201723	232.91347	0
336	0.64986392	0	-1.521454	89.251926	4.5793377	213.29381	0
337	-0.14747266	0	-1.5368061	102.03184	4.3431444	213.94708	0
338	-0.93299229	0	-0.90614919	79.141195	5.238082	282.27835	0.00061223658
339	-0.0080461746	0	-2.8838589	75.844432	4.6912044	269.24792	0.0005642901
340	-0.032534531	0	-8.1883726	93.57283	2.8476403	215.9895	0.00010146435
341	1.0765685	0	-7.7562205	74.468947	2.9158879	245.76702	0.00023340976
342	0.74678108	0	-8.9326498	89.987041	2.7098344	219.68746	0.00029561951
343	-0.27631667	0	-10.648654	89.322085	2.3197307	195.81717	0.00010038247
344	0.27229001	0	-12.749934	87.084361	1.9636129	173.47668	0
345	0.18682575	0	-12.890809	90.684332	1.9549335	171.33752	0
346	-0.39351098	0	-9.9073219	95.870677	2.3834609	206.41091	0
347	1.9747785	0	-6.7743084	92.970726	2.8902517	189.31777	5.571876e-05
348	3.2953953	0	-1.333906	77.754442	4.8209181	283.69864	0
349	3.153214	0	-1.8433113	91.577979	4.4746216	227.08719	0
350	2.6787364	0	-2.1599396	93.440311	4.245902	215.7888	0
351	2.4423323	0	-2.7087972	90.641194	3.9951225	225.60899	0
352	2.0600379	0	-4.6817364	80.728639	3.6348774	244.6838	0.00011671454
353	3.6030216	0	-0.66296052	86.879347	5.0884365	251.31051	0
354	2.6770314	0	0.35305946	81.106163	5.5539547	231.81911	0
355	1.3070408	0	-3.492871	97.19621	3.8050558	212.57258	0
356	1.0626148	0	-4.0990401	96.45754	3.408975	213.47393	0
357	0.87045669	0	-4.1703798	90.857337	3.7034659	217.02027	0
358	-0.20959817	0	-4.2200216	97.671701	3.6069876	215.66569	0
359	0.076733655	0	-4.5774363	99.906397	3.3764887	204.0946	0
360	0.7744717	0	-4.5427993	97.419836	3.8241609	231.76734	6.7370614e-05
