Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       44   44.0000       2.89814       2.89931       3.09207      0.401475E-01  0.142419E-02   0.00000      -85.1806      -16.6487      -14.8637       62.8044       0.00000      -325.955       28.3914      0.697520       5.00000       4.00000     -0.198293       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       2.81590       2.88338       3.09207      0.136415      0.483994E-02   0.00000      -191.619      -42.1598      -41.6091       164.804       0.00000      -325.567       14.6428      0.500000       5.00000       4.00000     -0.198293       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       2.79335       2.86426       3.08276      0.123164      0.437000E-02   0.00000      -158.293      -23.5381      -30.3385       183.636       0.00000      -325.460       14.8068      0.507256       5.00000       4.00000     -0.200325       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       2.81744       2.88260       3.08276      0.119156      0.422760E-02   0.00000      -138.063      -13.6971      -28.5231       192.323       0.00000      -325.574       14.6122      0.501420       5.00000       4.00000     -0.200325       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       2.86880       2.92171       3.08276      0.114779      0.407191E-02   0.00000      -121.800      -7.21913      -21.3787       184.072       0.00000      -325.816       14.4752      0.500000       5.00000       4.00000     -0.200325       0.00000       0.00000       0.00000       0.00000    
       49   49.0000       2.92812       2.96658       3.08276      0.109037      0.386775E-02  0.215615E-02  -96.4119     -0.596345      -18.0667       185.566       0.00000      -326.097       14.3942      0.500000       5.00000       4.00000     -0.200325       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       3.03075       3.03075       3.03075      0.162220      0.575315E-02  0.425650E-02  -60.3911       7.99774      -19.8993       167.331       0.00000      -326.582       28.6400      0.500000       5.00000       4.00000     -0.211683       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       3.10771       3.10771       3.10771      0.190938      0.677065E-02  0.437336E-02  -38.3751       22.8471      -18.1732       156.402       0.00000      -326.946       28.6400      0.500000       5.00000       4.00000     -0.194875       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       3.19262       3.19262       3.19262       0.00000      0.778666E-04  0.427955E-02  -59.7135      0.367360E-01 -0.284382E-01   187.186       0.00000      -327.348       28.6400      0.500000       5.00000       4.00000     -0.176331       0.00000       0.00000       0.00000       0.00000    
       53   53.0000       3.28431       3.28431       3.28431       0.00000      0.822398E-04  0.421041E-02  -56.2306      0.606535E-01 -0.318767E-01   191.596       0.00000      -327.783       28.6400      0.500000      0.367129       3.28155      0.820259E-02   0.00000       0.00000       0.00000       0.00000    
       54   54.0000       3.38152       3.38152       3.38152       0.00000      0.851559E-04  0.386650E-02  -65.5768      0.631566E-01 -0.451522E-01   191.163       0.00000      -328.244       28.6400      0.500000      0.167419       3.23509      0.955104       0.00000       0.00000       0.00000       0.00000    
