Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       53   53.0000       4.27372       4.27199       4.05366       0.00000      0.807043E-04   0.00000      -60.9755      0.467322E-01 -0.448817E-01   239.420       0.00000      -332.501       28.1906      0.500000      0.763767       3.47473      0.827739       0.00000       0.00000       0.00000       0.00000    
       54   54.0000       4.40406       4.39956       4.05366       0.00000      0.835607E-04   0.00000      -70.4867      0.487665E-01 -0.586311E-01   238.879       0.00000      -333.126       27.9037      0.500000      0.823715       3.48588      0.752717       0.00000       0.00000       0.00000       0.00000    
       55   55.0000       4.52815       4.51996       4.05366      0.115133      0.407154E-02   0.00000      -95.8745       9.90549      -27.4401       242.315       0.00000      -333.722       27.6521      0.500000      0.877736       3.49585      0.693979       0.00000       0.00000       0.00000       0.00000    
       56   56.0000       4.71369       4.62464       4.05366      0.282042E-01  0.997048E-03   0.00000      -75.3895      0.345303E-01  -3.89103       228.460       0.00000      -334.615       20.9124      0.500000      0.927167       3.50492      0.646301       0.00000       0.00000       0.00000       0.00000    
       57   57.0000       4.86762       4.73412       4.05366      0.285597E-01  0.100932E-02   0.00000      -54.9070      -7.72440      -8.58272       180.268       0.00000      -335.357       19.2453      0.500000      0.972846       3.51325      0.606605       0.00000       0.00000       0.00000       0.00000    
       58   58.0000       5.00765       4.82372       4.05366      0.430942E-01  0.152257E-02   0.00000      -91.0288      -5.81716      -11.0321       224.525       0.00000      -336.033       17.5962      0.500000       1.01531       3.52095      0.572953       0.00000       0.00000       0.00000       0.00000    
       59   59.0000       5.15810       4.91919       4.05366      0.312724E-01  0.110457E-02   0.00000      -76.8880     -0.721928      -5.44339       248.698       0.00000      -336.761       16.2493      0.500000       1.05533       3.52816      0.543758       0.00000       0.00000       0.00000       0.00000    
       60   60.0000       5.35412       5.04220       4.05366      0.396699E-01  0.140066E-02   0.00000      -75.9563     -0.257475      -5.66981       196.632       0.00000      -337.711       14.9010      0.500000       1.09320       3.53496      0.518137       0.00000       0.00000       0.00000       0.00000    
       61   61.0000       5.50029       5.12850       4.05366      0.440833E-01  0.155605E-02   0.00000      -76.1581      -2.28920      -8.79649       212.453       0.00000      -338.420       13.9186      0.500000       1.12896       3.54134      0.495546       0.00000       0.00000       0.00000       0.00000    
       62   62.0000       5.67296       5.22603       4.05366      0.809207E-01  0.285539E-02   0.00000      -121.162      -16.2540      -21.6703       225.202       0.00000      -339.260       12.8306      0.500000       1.16307       3.54741      0.475321       0.00000       0.00000       0.00000       0.00000    
       63   63.0000       5.78391       5.30041       4.05366      0.813678E-01  0.287056E-02   0.00000      -124.083      -17.0917      -25.2150       245.930       0.00000      -339.800       12.6337      0.500000       1.19570       3.55318      0.457076       0.00000       0.00000       0.00000       0.00000    
       64   64.0000       5.92204       5.38760       4.05366      0.686844E-01  0.242246E-02   0.00000      -89.5237      -13.7130      -20.3285       211.781       0.00000      -340.474       12.2552      0.500000       1.22704       3.55870      0.440493       0.00000       0.00000       0.00000       0.00000    
       65   65.0000       6.08179       5.47509       4.05366      0.481463E-01  0.169757E-02   0.00000      -110.325      -14.7700      -17.5900       215.863       0.00000      -341.254       11.5050      0.500000       1.25703       3.56396      0.425409       0.00000       0.00000       0.00000       0.00000    
       66   66.0000       6.19303       5.55058       4.05366      0.620482E-01  0.218727E-02   0.00000      -105.468      -9.51605      -17.3900       253.373       0.00000      -341.798       11.4390      0.500000       1.28593       3.56901      0.411562       0.00000       0.00000       0.00000       0.00000    
       67   67.0000       6.37704       5.65651       4.05366      0.601543E-01  0.211976E-02   0.00000      -76.1534      -3.63668      -10.9220       208.831       0.00000      -342.700       10.8764      0.500000       1.31392       3.57388      0.398747       0.00000       0.00000       0.00000       0.00000    
       68   68.0000       6.56105       5.75152       4.05366      0.135719E-01  0.478090E-03   0.00000      -81.0909      -4.50761      -8.37634       234.579       0.00000      -343.603       10.1467      0.500000       1.34083       3.57855      0.386941       0.00000       0.00000       0.00000       0.00000    
       69   69.0000       6.73516       5.86148       4.05366      0.205551E-01  0.723841E-03  0.159756E-02  -82.4532      -14.9861      -16.8330       165.440       0.00000      -344.459       9.97716      0.500000       1.36696       3.58307      0.375938       0.00000       0.00000       0.00000       0.00000    
       70   70.0000       6.81503       5.92081       4.07109      0.936166E-01  0.329617E-02  0.320588E-02  -144.028      -18.5543      -29.8736       239.549       0.00000      -344.852       9.97717      0.500107       1.36679       3.58304      0.389928       0.00000       0.00000       0.00000       0.00000    
       71   71.0000       6.90895       5.98914       4.08896      0.752313E-01  0.264836E-02   0.00000      -119.831      -7.17443      -22.5361       268.721       0.00000      -345.315       9.97718      0.500549       1.36709       3.58309      0.404077       0.00000       0.00000       0.00000       0.00000    
       72   72.0000       7.07836       6.09578       4.08896      0.433196E-01  0.152448E-02   0.00000      -74.0311      -7.35193      -13.0402       232.349       0.00000      -346.152       9.82309      0.500273       1.39338       3.58761      0.392907       0.00000       0.00000       0.00000       0.00000    
       73   73.0000       7.29520       6.20921       4.08896      0.386787E-01  0.136059E-02   0.00000      -110.435      -3.25723      -13.0118       247.856       0.00000      -347.224       9.24582      0.500187       1.41879       3.59197      0.382516       0.00000       0.00000       0.00000       0.00000    
       74   74.0000       7.43005       6.30763       4.11631       0.00000      0.515480E-04   0.00000      -65.6479      0.885376E-02 -0.651235E-01   254.025       0.00000      -347.893       9.24795      0.500248       1.40400       3.58944      0.409785       0.00000       0.00000       0.00000       0.00000    
       75   75.0000       7.63695       6.44264       4.11631       0.00000      0.640967E-04   0.00000      -68.3601      0.160819E-01 -0.614587E-01   264.497       0.00000      -348.920       9.21838      0.500248       1.42979       3.59386      0.399022       0.00000       0.00000       0.00000       0.00000    
       76   76.0000       7.85331       6.58322       4.11631       0.00000      0.724522E-04   0.00000      -61.7335      0.207800E-01 -0.587100E-01   242.805       0.00000      -349.997       9.18195      0.500248       1.45488       3.59814      0.388928       0.00000       0.00000       0.00000       0.00000    
       77   77.0000       8.05428       6.71299       4.11631      0.434771E-01  0.152716E-02  0.170507E-02  -96.5827      -4.04902      -12.4798       211.127       0.00000      -350.999       9.13985      0.500248       1.47923       3.60228      0.379469       0.00000       0.00000       0.00000       0.00000    
       78   78.0000       8.16749       6.79499       4.13849      0.186074E-01  0.653458E-03  0.361648E-02  -151.888      -16.3114      -29.8555       271.672       0.00000      -351.565       9.13986      0.500325       1.47054       3.60081      0.399276       0.00000       0.00000       0.00000       0.00000    
       79   79.0000       8.28852       6.88073       4.15874      0.259230E-01  0.910154E-03   0.00000      -82.8956      -14.8309      -23.3106       190.648       0.00000      -352.170       9.13987      0.500662       1.46631       3.60009      0.416040       0.00000       0.00000       0.00000       0.00000    
       80   80.0000       8.40660       6.95782       4.15874      0.288755E-01  0.101359E-02  0.333712E-02  -107.022      -14.9328      -19.9108       188.748       0.00000      -352.761       9.12909      0.500641       1.49111       3.60430      0.406038       0.00000       0.00000       0.00000       0.00000    
       81   81.0000       8.48946       7.01623       4.17223      0.708389E-01  0.248619E-02  0.172899E-02  -122.759      -5.90366      -22.4086       271.193       0.00000      -353.177       9.12910      0.500913       1.49626       3.60517      0.413855       0.00000       0.00000       0.00000       0.00000    
       82   82.0000       8.63671       7.12254       4.20083      0.695682E-01  0.244090E-02  0.101426E-02  -116.179     -0.897900      -20.8805       262.206       0.00000      -353.916       9.12911      0.501061       1.48088       3.60257      0.441151       0.00000       0.00000       0.00000       0.00000    
       83   83.0000       8.78143       7.22710       4.22915       0.00000      0.724032E-04   0.00000      -54.1219      0.379518E-01 -0.954186E-01   262.057       0.00000      -354.644       9.12912      0.501199       1.46815       3.60042      0.467648       0.00000       0.00000       0.00000       0.00000    
